"","ancestral","birth","death","duration","nfinds","fa","la"
"54",49,2.92980158566497,3.88226976459609,0.952468178931117,1,3.03443938650192,3.03443938650192
"55",18,3.01259322934784,4.08714269125231,1.07454946190447,2,3.93503656686503,4.03908925624859
"56",20,3.09622317040339,4.43078979982673,1.33456662942334,3,3.21030105415086,3.84533688451339
"57",34,3.09152277270332,3.91813722292525,0.826614450221928,0,0,0
"58",38,3.02722797410097,3.09599989632241,0.0687719222214356,0,0,0
"59",43,3.01722136517055,4.53291357883928,1.51569221366873,1,3.39294082677849,3.39294082677849
"60",15,3.55866806351114,4.3954256932188,0.836757629707662,0,0,0
"61",51,3.56462821133901,3.7937745795287,0.229146368189695,0,0,0
"62",5,3.67801884382498,4.03138181764631,0.35336297382133,0,0,0
"63",41,3.61259090248496,6.24813817349428,2.63554727100933,5,4.69338269467201,6.15151808399226
"64",42,3.60790728852153,4.98103894268935,1.37313165416782,2,3.89566670018954,4.16923809399207
"65",46,3.69743518028408,5.14798541256181,1.45055023227772,1,4.18176172247202,4.18176172247202
"66",47,3.68797728549689,3.71747041668231,0.0294931311854145,0,0,0
"67",59,3.6623609722592,4.17262470252816,0.510263730268967,0,0,0
"68",34,3.73216147439089,7.60306718788849,3.8709057134976,11,3.80163319418314,7.17739473567623
"69",40,3.80949123646133,4.31927193917074,0.509780702709414,0,0,0
"70",63,3.89331397216302,4.22430943776185,0.33099546559883,0,0,0
"71",13,3.99310364711564,4.80837860577362,0.815274958657974,1,4.40433633112389,4.40433633112389
"72",15,3.94503784652334,4.19804048523154,0.253002638708202,0,0,0
"73",51,3.95394874373451,5.38643094735768,1.43248220362317,1,5.32623588083876,5.32623588083876
"74",67,3.98250187193044,4.45039445502792,0.46789258309748,0,0,0
"75",70,3.97866663583555,4.19005743694843,0.211390801112885,0,0,0
"76",60,4.19202374105808,5.15734617698564,0.965322435927565,0,0,0
"77",64,4.16909364112653,4.43502501358847,0.265931372461942,0,0,0
"78",72,4.12370393841993,6.28108205760327,2.15737811918334,2,5.1765670217844,5.33572263968051
"79",40,4.26497482573614,5.32523886566804,1.0602640399319,1,4.27932075128696,4.27932075128696
"80",53,4.29097258292604,4.73338569276041,0.442413109834368,0,0,0
"81",13,4.34789796799887,4.51214051601153,0.164242548012663,0,0,0
"82",37,4.32175139714964,5.22703254574419,0.905281148594556,2,4.52399243480298,4.66658851122286
"83",63,4.39225908864755,4.54021812495517,0.147959036307615,0,0,0
"84",64,4.32198853311129,4.51484385503836,0.192855321927074,0,0,0
"85",64,4.34466602678876,4.93335879404967,0.588692767260904,0,0,0
"86",13,4.47469670362771,5.10363170175163,0.628934998123925,0,0,0
"87",37,4.46530336372089,4.97054793121612,0.50524456749523,0,0,0
"88",35,4.54535836395808,4.59153840566463,0.0461800417065588,0,0,0
"89",78,4.54250866796356,5.22331091305057,0.680802245087008,0,0,0
"90",80,4.53638695585541,5.22950217160717,0.693115215751758,1,4.61673615362683,4.61673615362683
"91",85,4.56965029793791,5.42530527645191,0.855654978513995,0,0,0
"92",85,4.58699687491171,5.35529527220337,0.768298397291661,0,0,0
"93",91,4.62446434162557,5.36042139744795,0.735957055822382,1,4.98037532818779,4.98037532818779
"94",63,4.73164065279998,5.64277565975009,0.911135006950113,2,5.04189010586352,5.50052082888673
"95",65,4.74813820898998,5.92360550630926,1.17546729731928,0,0,0
