taxon max_age min_age
A0 6.5 6
B0 7 6.5
E0 7 6.5
K0 6 5.5
L0 6 5.5
M0 6 5.5
N0 5.5 5
O0 6 5.5
P0 5.5 5
R0 5 4.5
T0 5.5 5
U0 5.5 5
W0 5.5 5
A1 5 4.5
B1 5 4.5
C1 4.5 4
F1 5 4.5
H1 4 3.5
I1 4 3.5
J1 5 4.5
K1 4.5 4
L1 5 4.5
W1 4 3.5
Y1 3 2.5
B2 4.5 4
C2 3.5 3
D2 4 3.5
G2 4 3.5
K2 2.5 2
L2 3.5 3
M2 3 2.5
P2 3.5 3
S2 3 2.5
U2 2 1.5
Z2 2.5 2
A3 3 2.5
D3 3 2.5
L3 3 2.5
O3 2.5 2
P3 2.5 2
U3 2 1.5
E4 2 1.5
G4 1.5 1
H4 1 0.5
